When it happens.	Kung magkagayon.
My uncle is looking for small red shorts.	Naghahanap yung tiyuhin ko ng maliit na pula na korto.
My uncle is scared to swim in the sea at night.	Natatakot tito lumangoy sa dagat kapag gabi.
My uncle is slim, but my aunt is fat.	Ang tiyuhin ko ay payat, pero ang tiyahin ko ay mataba.
My uncle is thin, but my aunt is fat.	Ang tito ko ay payat, pero ang tita ko ay mataba.
My uncle teaches English in a college.	Nagtuturo ang tito ko sa isang kolehiyo.
My uncle teaches English in a college.	Nagtuturo ang tiyuhin ko sa isang kolehiyo.
My uncle told me to drive to Boston.	Sinabihan ako ng tito ko na magmaneho papuntang Boston.
My uncle wants you to drive to Boston.	Gusto ng tito ko ikaw ang magmaneho papuntang Boston.
My watch is more accurate than yours.	Ang orasan ko ay mas tama kaysa sa orasan mo.
My watch may be one or two minutes fast.	Maaaring mabilis nang isa o dalawang minuto ang relo ko.
My wife and I agreed on a holiday plan.	nagkasundo na kami ng asawa ko sa plano sa bakasyon.
My wife is preparing dinner right now.	Naghahanda ng hapunan ang asawa ko ngayon.
My wife is scared to swim in the sea at night.	Natatakot asawa ko lumangoy sa dagat kapag gabi.
My wife told me to drive to Boston.	Sinabihan ako ng asawa ko na magmaneho papuntang Boston.
My willingness to try any food.	ang aking pagpayag na subukan ang anumang pagkain.
My younger brother is taller than I am.	Ang bata kong kapatid ay mas matangkad kaysa sa akin.
My younger brother is taller than me.	Mas matangkad sa akin ang bunso kong kapatid.
Nah, they're coming home to their families.	Hindi, nagsisiuwi sila sa kanilang mga pamilya.
Nakakairita ka, alam mo ba iyon?	You are so annoying, don't you know that?
Nearby Id seen a beauty-supply store.	Malapit na nakita ko ang tindahan ng suplay ng kagandahan.
Nearest Sunday to July 11 is on July 9.	Pinakamalapit na Linggo sa Hulyo 11 ay Hulyo 9.
Nearly twenty people went to an eatery.	Halos dalawampung tao and pumunta sa isang kainan.
Necessity is the mother of invention.	Pangangailangan ang pinagmumulan ng mga imbensyon.
Neil Gaiman is my favorite author.	Si Niel Gaiman ang paborito kong manunulat.
Neither Mike nor Tom has ever driven a truck.	Si Mike at Tom ay hindi pa nakapagmamaneho ng truck.
Neither this friday morning nor tomorrow.	hindi ngayong biyernes ng umaga o kahit bukas.
Neither this monday midnight nor today.	hindi ngayong lunes ng hating gabi o kahit ngayong araw.
Neither this tuesday morning nor tomorrow.	Hindi sa martes ng umaga o bukas.
Neither Tom nor Mary can speak French.	Si Tom at Mary ay hindi marunong magsalita ng French.
Neither Tom nor Mary can speak French.	Si Tom at Mary ay hindi marunong magsalita ng Pranses.
Never again did she enter the house.	Ang babae ay hindi muli pumasok sa bahay.
Never ever compare yourelf to anyone.	Huwag kailanman ihambing ang iyong sarili sa iba.
Never hesitating to swim against the tide.	Walang takot na lumangoy ng laban sa agos.
Never lie to someone who trusts you.	Huwag kang magsinungaling sa taong may tiwala sa iyo.
Never pictured yourself hitchhiking?	Nakita mo ba ba ang iyong sarili na nakisakay?
Never trust someone who lies to you.	Huwag kang magtiwala sa taong nagsisinungaling sa iyo.
New equipment was bought for his project.	Bumili ng bagong kagamitan para sa kanyang proyekto.
New equipment was bought for my classroom.	Bumili ng bagong kagamitan para sa aking silid-aralan.
New equipment was bought for my laboratory.	Bumili ng bagong kagamitan para sa aking laboratoryo.
New equipment was bought for my project.	Bumili ng bagong kagamitan para sa aking proyekto.
New equipment was bought for my room.	Bumili ng bagong kagamitan para sa aking silid.
New equipment was bought for my room.	Bumili ng bagong kagamitan para sa aking kwarto.
New equipment was bought for my school.	Bumili ng bagong kagamitan para sa aking paaralan.
New equipment was bought for the classroom.	Bumili ng bagong kagamitan para sa silid-aralan.
New equipment was bought for the exam.	Bumili ng bagong kagamitan para sa pagsusulit.
New equipment was bought for the laboratory.	Bumili ng bagong kagamitan para sa laboratoryo.
New equipment was bought for the library.	Bumili ng bagong kagamitan para sa silid-aklatan.
New equipment was bought for the project.	Bumili ng bagong kagamitan para sa proyekto.
New equipment was bought for the room.	Bumili ng bagong kagamitan para sa silid.
New equipment was bought for the room.	Bumili ng bagong kagamitan para sa kwarto.
New equipment was bought for the school.	Bumili ng bagong kagamitan para sa paaralan.
News Anchor: Harvard doctor says that this.	Tagapagbalita: Sabi ng doktor sa Harvard na ang.
News Lady: In medical news tonight.	Babaing Nagbabalita: Sa balitang medical ngayong gabi.
Newton saw an apple fall off a tree.	Nakakita si Newton ng mansanas na mahulog mula sa puno.
Next day Anatole left for Petersburg.	kinabukasan ay nagtungo si Anatole sa Petersburg.
Next day he woke calm and cheerful.	nagising siya nang payapa at magiliw sa sumunod na araw.
Next day Pierre came to say good-by.	sa sumund na araw ay dumating si Perre upang magpa-alam.
Next day Rostov saw Denisov off.	kinabukasan ay hinatid ni Rostov si Denisov.
Next day Rostov saw Denisov off.	kinabukasan ay pinaalis ni Rostov si Denisov.
Next day the Emperor left Moscow.	sa sumunod na araw ay umalis na ang Emperor sa Moscow.
Next Monday and Tuesday are holidays.	Ang sunod na Lunes at Martes ay holiday.
Next Monday and Tuesday are holidays.	Walang pasok sa susunod na Lunes at Martes.
Next place we went to was the Boardwalk.	Sunod naming pinuntahan ay ang Boardwalk.
Next time, I don't want to hear you talk.	Sa susunod, ayokong marinig kang nagsasalita.
Next year, we'll be starting college.	Sa susunod na taon, magsisimula na kami sa kolehiyo.
Niklas, the Danish guy, was attractive.	Si Niklas, ang lalaking taga-Denmark, ay kaakit-akit.
Nine hundred ninety-nine thousand years.	Siyam na raa't siyamnapu't siyam na libong taon.
No credit card, no social status.	Walang credit card, walang katayuan sa buhay.
No hand would ever stop her, where are you?	Walang kamay na pipigil sa kanya, nasaan ka na?
No hand would ever stop him, where are you?	Walang kamay na pipigil sa kanya, nasaan ka na?
No matter who says so, it's not true.	Kahit sino man ang magsabi, hindi iyon totoo.
No one believes that he is innocent.	Walang naniniwala na siya ay walang sala.
No one came yesterday except Tom and Mary.	walang pumunta kahapon maliban si Tom at Mary.
No one can see the weird fireflies.	Walang nakakakita sa mga kakaibang alitaptap.
No one can understand the evil goats.	Walang makaintindi sa masasamang kambing.
No one has ever said such things to me.	Wala pang nagsabi sa akin ng ganyang bagay.
No one has seen the guy for several days.	walang nakakita sa lalaki ng ilang araw.
No one has the right to torture you.	Walang sino man ang may karapatang pahirapan ka.
No one knows what has happened to him.	Walang may alam kung anong nangyari sa kanya.
No one knows what the future holds.	Walang nakakaalam kung ano ang hawak ng kinabukasan.
No one knows what'll happen in the future.	walang nakakaalam kung anong mangyayari sa hinaharap.
No one knows when the last goodbye is.	Walang nakakaalam kung kung kailan ang huling paalam.
No one wants to attend to our Physics class.	Walang gustong pumasok sa klase namin sa Pisika.
No one will forget because no one remembers.	Walang makakalimot dahil walang nakakaalala.
No one will look for her if she will get lost.	Walang maghahanap kapag siya ay nawala.
No one will look for her when she's gone.	Walang maghahanap kapag siya ay nawala.
No one will look for him if he will get lost.	Walang maghahanap kapag siya ay nawala.
No one will look for him when he's gone.	Walang maghahanap kapag siya ay nawala.
No one will save humanity except for you.	Walang ibang magliligtas sa sangkatauhan bukod sa iyo.
No questions mean no answers.	Kung walang mga katanungan, walang mga kasagutan.
No singing in the morning before breakfast.	Walang pag-awit sa umaga bago almusal.
No words can relieve her deep sorrow.	Walang mga salita ang magpapaginhawa ng kanyang pighati.
No, but I can intuit where you belong.	Hindi, pero kaya kong matukoy kung saan ka nabibilang.
No, but I like going to watch baseball.	Hindi, pero mahilig ako manuod ng baseball.
No, I haven't been crying.I'm just cold.	Hindi, hindi ako umiiyak.Nilalamig lang ako.
No, thank you. I'm just looking around.	Salamat, pero tumitingin-tingin lang ako.
Nobody goes outside in this kind of weather.	Walang lumalabas sa gantong klaseng panahon.
Nobody knows what's going to happen.	Walang sinuman ang nakakakaalam kung anong mangyayari.
Nobody knows where he has escaped to.	Walang nakakaalam kung saan siya tumakas.
Nobody remembers the man who ever came second.	Walang nakakaalala sa taong pumapangalawa.
Nobody says you can't go fishing.	Wala namang nagsasabing hindi ka pwedeng mangisda.
None of the students were late for school.	Walang estudyanteng nahuli para sa eskuwela.
Noon tomorrow, on the cliff near the hut.	Bukas ng umaga, sa may bangin malapit sa kubo.
North Korea is very nice this time of year.	Maganda ang Hilagang Korea sa panahon na ito ng taon.
Not come until there's a falling away and.	ay hindi darating hanggang magkaroon ng pagtaliwakas.
Not everybody could act so quickly.	Hindi lahat ay maaaring kumilos nang mabilis.
Nothing can save me but your voice.	Walang makakaligtas sa akin kundi ang boses mo.
Nothing goes beyond the love of a mother.	Walang makahihigit sa pagmamahal ng isang ina.
Nothing good will come out of you pouting.	Walang magandang maibibigay sa iyo ang pagsimangot.
Nothing is more important in life than health.	Walang mas importante sa buhay kundi ang kalusugan.
Nothing is more pleasant than traveling.	Walang mas maisasaya kaysa sa paglalakbay.
Nothing will become of you in the province.	Walang mangyayari sa'yo sa probinsya.
November 1 is the day of his death.	Sa ika-isa ng Nobyembre ang araw ng kanyang kamatayan.
November 10 is the day of his death.	Sa ika-sampu ng Nobyembre ang araw ng kanyang kamatayan.
November 11 is the day of his death.	Sa ika-labing-isa ng Nobyembre ang araw ng kanyang kamatayan.
November 11 will be Sunday because.	Linggo ang ika-labing-isa ng Nobyembre dahil.
November 12 will be Sunday because.	Linggo ang ika-labindalawa ng Nobyembre dahil.
November 13 is the day of his death.	Sa ika-labintatlo ng Nobyembre ang araw ng kanyang kamatayan.
November 13 will be Sunday because.	Linggo ang ika-labintatlo ng Nobyembre dahil.
November 14 will be Sunday because.	Linggo ang ika-labing-apat ng Nobyembre dahil.
November 15 is the day of his death.	Sa ika-labinlima ng Nobyembre ang araw ng kanyang kamatayan.
November 15 will be Sunday because.	Linggo ang ika-labinlima ng Nobyembre dahil.
November 16 will be Sunday because.	Linggo ang ika-labing-anim ng Nobyembre dahil.
November 17 is the day of his death.	Sa ika-labinpito ng Nobyembre ang araw ng kanyang kamatayan.
November 17 will be Sunday because.	Linggo ang ika-labinpito ng Nobyembre dahil.
November 18 is the day of his death.	Sa ika-labinwalo ng Nobyembre ang araw ng kanyang kamatayan.
November 18 will be Sunday because.	Linggo ang ika-labinwalo ng Nobyembre dahil.
November 19 will be Sunday because.	Linggo ang ika-labingsiyam ng Nobyembre dahil.
November 2 is the day of his death.	Sa ika-dalawa ng Nobyembre ang araw ng kanyang kamatayan.
November 20 is the day of his death.	Sa ika-dalawampu ng Nobyembre ang araw ng kanyang kamatayan.
November 20 will be Sunday because.	Linggo ang ika-dalawampu ng Nobyembre dahil.
November 21 will be Sunday because.	Linggo ang ika-dalawampu't isa ng Nobyembre dahil.
November 22 is Wednesday.	Ang ika-dalawampu't dalawa ng Nobyembre ay Miyerkules.
November 22 will be Sunday because.	Linggo ang ika-dalawampu't dalawa ng Nobyembre dahil.
November 23 is Wednesday.	Ang ika-dalawampu't tatlo ng Nobyembre ay Miyerkules.
November 23 will be Sunday because.	Linggo ang ika-dalawampu't tatlo ng Nobyembre dahil.
November 24 is a Wednesday.	Ang ika-dalawampu't apat ng Nobyembre ay Miyerkules.
November 24 is Wednesday.	Ang ika-dalawampu't apat ng Nobyembre ay Miyerkules.
November 24 will be Sunday because.	Linggo ang ika-dalawampu't apat ng Nobyembre dahil.
November 25 is a Wednesday.	Ang ika-dalawampu't lima ng Nobyembre ay Miyerkules.
November 25 is Wednesday.	Ang ika-dalawampu't lima ng Nobyembre ay Miyerkules.
November 25 will be Sunday because.	Linggo ang ika-dalawampu't lima ng Nobyembre dahil.
November 26 is Wednesday.	Ang ika-dalawampu't anim ng Nobyembre ay Miyerkules.
November 26 will be Sunday because.	Linggo ang ika-dalawampu't anim ng Nobyembre dahil.
November 27 is Wednesday.	Ang ika-dalawampu't pito ng Nobyembre ay Miyerkules.
November 27 will be Sunday because.	Linggo ang ika-dalawampu't pito ng Nobyembre dahil.
